№,Material,Tg,delta Cp(Tg),delta Cp_ex(Tg),delta Hm,m_meas,m_calc,delta Cp/delta Sm
1,GeO2,810,6.27,,16.7,20,17,0.51
2,BeF2,590,3,,4.76,24,21,0.52
3,Methanol,100,30,,3.85,39,43,1.34
4,n-propanol,96.2,45,55,5.4,40,46,1.25
5,ZnCl2,378,17,,10.24,30,35,0.98
6,Butyronitrile,97,40,45,5.02,56,43,1.28
7,Ethylene glycol,151,60,63,11.86,50,43,1.32
8,Ethanol,94,38,45.4,4.93,55,41,1.23
9,m-xylene,125.5,72,79,11.56,56,44,1.40
10,Glycerol,190,90,91,18.3,53,52,1.44
11,3-bromopentane,106,72,78,8.4,53,51,1.43
12,m-cresol,198.6,54,62,10.57,57,57,1.46
13,2-methylpentane,78,68,77,6.26,58,47,1.30
14,D-fructose,286,133,,32.43,61,66,1.55
15,Phenolphthalein,363,146,,47.15,62,63,1.65
16,Indomethacin,318,147,165,39.4,75,66,1.61
17,2-methyltetrahydrofuran,91,72,76,6.65,65,55,1.49
18,Hydrochloro-thiazide,385,92.3,,31,65,64,1.63
19,Griseofulvin,364,127,,37.75,65,69,1.66
20,"1,3,5-tri-α-naphthylbenzene",340,124,145,33.3,76,71,1.77
21,Diethylphthalate,178,115,,17.99,73,63,1.71
22,Probucol,295,139.5,150,35.66,67,65,1.56
23,9-bromophenanthrene,224.8,77,,14,69,69,1.82
24,Phenobarbital,319,106.8,,27.9,70,68,1.71
25,D-glucose,309,128,144,32.4,72,68,1.66
26,Maltitol,311,243.6,284,55,75,77,1.86
27,Glibenclamide,331,222.3,,53.35,75,77,1.88
28,Salol,220,118,121,19.3,76,75,1.93
29,m-toluidine,187,90,91.5,8.8,98,107,2.55
30,Flopropione,335,127.5,,29.1,81,82,1.98
31,o-terphenyl,246,112,116,17.2,81,89,2.13
32,α-phenyl-cresol,220,120,128,23.3,61,63,1.69
33,Selenium,308,14.4,,6.16,87,40,1.16
34,Triphenylethene,246,117,121,20.35,91,80,1.96
35,Sorbitol,268,201,240,30.2,107,100,2.44
36,H2SO4–3H2O,158,186,195,24.22,68,68,1.82
37,Toluene,117,64,69.6,6.64,103,63,1.72
38,Sucrose,345,215,260,41.4,98,100,2.44
39,Ca(NO3)2–4H2O,217,250,,31.17,101,97,2.54
40,Propylene carbonate,159.5,75.4,77.3,7.77,99,87,2.12
41,Triphenyl phosphite,200,155,171,25,115,69,1.83
42,cis-/trans-decalin,137.4,64,81,9.46,145,52,1.56
43,As2Te3,391,84.3,,55.8,33,33,0.98
44,B2O3,536,40,41,24,36,50,1.21
45,2-methyl-1-propanol,107,46,56,6.32,39,44,1.25
46,As2Se3,453,75,,40.76,40,47,1.18
47,m-fluorotoluene,122.5,74,79,8.3,45,61,1.64
48,Ethylbenzene,115,76,84,9.17,58,53,1.48
49,3-methylpentane,77,68,72,5.3,56,55,1.41
50,n-butene,58,69,76,3.96,63,57,1.53
51,Isopropylbenzene,124.8,74.6,84.5,7.33,70,71,1.80
52,Xylitol,244,155,,34,87,62,1.63
53,PMS*,167,138,142,14.65,87,88,2.14
54,Li-acetate,401,62.7,,12.7,115,111,2.73